Transect_I,MGMTUNIT_I,TransectNa,StartLat,StartLong,SITE_ID,tblSITE_Site,ManUnitAcres,Obs.2008,Obs.2009,Obs.2010,Obs.2011,Obs.2012,Obs.2013,Obs.2014,Obs.2015,Obs.2016,Obs.2017,Obs.2018,Sys.2008,Sys.2009,Sys.2010,Sys.2011,Sys.2012,Sys.2013,Sys.2014,Sys.2015,Sys.2016,Sys.2017,Sys.2018,Mgmt.2008,Mgmt.2009,Mgmt.2010,Mgmt.2011,Mgmt.2012,Mgmt.2013,Mgmt.2014,Mgmt.2015,Mgmt.2016,Mgmt.2017,Mgmt.2018,NumObs,Delta
1,1,3LE2-02,45.5308,-95.4851,1,Glacial Lakes SP,144.3,0,1,0,0,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",1,0
2,1,3LE2-08,45.5267,-95.4924,1,Glacial Lakes SP,144.3,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",2,1
3,1,3LE2-09,45.5283,-95.4912,1,Glacial Lakes SP,144.3,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",2,1
4,1,3LE2-10,45.5284,-95.4955,1,Glacial Lakes SP,144.3,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",2,1
5,1,3LE2-17,45.5327,-95.49,1,Glacial Lakes SP,144.3,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",2,1
6,1,3LE2-18,45.5327,-95.4922,1,Glacial Lakes SP,144.3,0,1,0,0,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",1,0
7,1,3LE2-21,45.5252,-95.4918,1,Glacial Lakes SP,144.3,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",2,1
8,1,3LE2-22,45.5301,-95.4899,1,Glacial Lakes SP,144.3,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",2,1
9,1,3LE2-30,45.5331,-95.4939,1,Glacial Lakes SP,144.3,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",2,1
10,1,3LE2-37,45.5303,-95.4812,1,Glacial Lakes SP,144.3,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",2,1
11,1,3LE2-41,45.5271,-95.4944,1,Glacial Lakes SP,144.3,0,1,0,0,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",0,0
12,1,3LE2-42,45.5315,-95.4868,1,Glacial Lakes SP,144.3,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",2,1
13,1,3LE2-43,45.5326,-95.4837,1,Glacial Lakes SP,144.3,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",2,1
14,1,3LE2-44,45.5317,-95.4928,1,Glacial Lakes SP,144.3,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",2,1
15,1,3LE2-46,45.5283,-95.4866,1,Glacial Lakes SP,144.3,0,1,0,1,0,0,0,0,0,1,0,"",LG,LG,LG,LG,LG,LG,LG,LG,UG,UG,Rest,Rest,Burn,Burn,Rest,Rest,Rest,Burn,Rest,Rest,"",2,1
16,2,3LE2-40,45.5229,-95.4917,1,Glacial Lakes SP,8.5,0,1,0,1,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Burn,Rest,"","","","",1,0
17,3,3LE2-07,45.5358,-95.5136,1,Glacial Lakes SP,20.5,0,1,0,1,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Burn,Rest,Burn,Rest,Rest,Burn,"","","","",1,0
18,3,3LE2-23,45.5373,-95.5144,1,Glacial Lakes SP,20.5,0,1,0,1,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Burn,Rest,Burn,Rest,Rest,Burn,"","","","",1,0
19,3,3LE2-47,45.537,-95.5174,1,Glacial Lakes SP,20.5,0,1,0,1,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Burn,Rest,Burn,Rest,Rest,Burn,"","","","",1,0
20,4,3LE2-14,45.5377,-95.5124,1,Glacial Lakes SP,20.7,0,1,0,1,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Rest,Burn,Rest,Rest,Burn,"","","","",1,0
21,5,3LE2-11,45.5302,-95.5,1,Glacial Lakes SP,76.8,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,"",2,1
22,5,3LE2-15,45.5338,-95.505,1,Glacial Lakes SP,76.8,0,1,0,0,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,"",1,0
23,5,3LE2-24,45.5338,-95.5013,1,Glacial Lakes SP,76.8,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,"",2,1
24,5,3LE2-25,45.5371,-95.5082,1,Glacial Lakes SP,76.8,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,"",2,1
25,5,3LE2-28,45.538,-95.5101,1,Glacial Lakes SP,76.8,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,"",2,1
26,5,3LE2-32,45.5311,-95.5015,1,Glacial Lakes SP,76.8,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,"",2,1
27,5,3LE2-35,45.5324,-95.5071,1,Glacial Lakes SP,76.8,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,"",2,1
28,5,3LE2-38,45.5394,-95.5083,1,Glacial Lakes SP,76.8,0,1,0,0,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,"",0,0
29,5,3LE2-39,45.5354,-95.5059,1,Glacial Lakes SP,76.8,0,1,0,0,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,"",0,0
30,6,3LE2-12,45.5295,-95.505,1,Glacial Lakes SP,23.2,0,1,0,1,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Burn,Rest,"","","","",1,0
31,6,3LE2-16,45.5282,-95.5058,1,Glacial Lakes SP,23.2,0,1,0,1,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Burn,Rest,"","","","",1,0
32,6,3LE2-49,45.5267,-95.5022,1,Glacial Lakes SP,23.2,0,1,0,0,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Burn,Rest,"","","","",0,0
33,7,3LE2-19,45.53,-95.5042,1,Glacial Lakes SP,51.8,0,1,0,1,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Rest,Rest,Burn,Rest,"","","","",1,0
34,7,3LE2-26,45.5279,-95.4983,1,Glacial Lakes SP,51.8,0,1,0,1,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Rest,Rest,Burn,Rest,"","","","",1,0
35,7,3LE2-27,45.5294,-95.4982,1,Glacial Lakes SP,51.8,0,1,0,1,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Rest,Rest,Burn,Rest,"","","","",1,0
36,7,3LE2-34,45.5248,-95.4939,1,Glacial Lakes SP,51.8,0,1,0,1,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Rest,Rest,Burn,Rest,"","","","",1,0
37,7,3LE2-36,45.5296,-95.5027,1,Glacial Lakes SP,51.8,0,1,0,0,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Rest,Rest,Burn,Rest,"","","","",0,0
38,7,3LE2-50,45.5273,-95.4967,1,Glacial Lakes SP,51.8,0,1,0,1,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Rest,Rest,Burn,Rest,"","","","",1,0
39,8,3LE2-33,45.5258,-95.4992,1,Glacial Lakes SP,33.9,0,1,0,0,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Burn,Rest,"","","","",0,0
40,8,3LE2-45,45.5228,-95.497,1,Glacial Lakes SP,33.9,0,1,0,1,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Burn,Rest,Burn,Rest,"","","","",1,0
41,9,3LE2-31,45.5346,-95.5168,1,Glacial Lakes SP,13.1,0,1,0,1,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Burn,Rest,Burn,Rest,Rest,Burn,"","","","",1,0
42,10,3LE2-48,45.5328,-95.5164,1,Glacial Lakes SP,8.1,0,1,0,1,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Burn,Rest,Rest,Burn,Rest,Burn,"","","","",1,0
43,11,3LE2-01,45.5342,-95.5149,1,Glacial Lakes SP,71,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Burn,Rest,Rest,Rest,Burn,Rest,"","",Rest,"",2,1
44,11,3LE2-03,45.5342,-95.5123,1,Glacial Lakes SP,71,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Burn,Rest,Rest,Rest,Burn,Rest,"","",Rest,"",2,1
45,11,3LE2-04,45.5326,-95.511,1,Glacial Lakes SP,71,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Burn,Rest,Rest,Rest,Burn,Rest,"","",Rest,"",2,1
46,11,3LE2-05,45.5342,-95.5097,1,Glacial Lakes SP,71,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Burn,Rest,Rest,Rest,Burn,Rest,"","",Rest,"",2,1
47,11,3LE2-06,45.5358,-95.5109,1,Glacial Lakes SP,71,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Burn,Rest,Rest,Rest,Burn,Rest,"","",Rest,"",2,1
48,11,3LE2-13,45.5326,-95.5136,1,Glacial Lakes SP,71,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Burn,Rest,Rest,Rest,Burn,Rest,"","",Rest,"",2,1
49,11,3LE2-20,45.5312,-95.5071,1,Glacial Lakes SP,71,0,1,0,0,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Burn,Rest,Rest,Rest,Burn,Rest,"","",Rest,"",0,0
50,11,3LE2-29,45.5317,-95.5089,1,Glacial Lakes SP,71,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Burn,Rest,Rest,Rest,Burn,Rest,"","",Rest,"",2,1
51,12,1SI2-04,48.7195353,-96.60553989,2,Lake Bronson SP,12.5,0,1,1,0,0,0,0,0,0,0,1,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,2,1
52,12,1SI2-05,48.72126632,-96.60489361,2,Lake Bronson SP,12.5,0,1,1,0,0,0,0,0,0,0,1,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Burn,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,2,1
53,13,1SI2-02,48.7177314,-96.61025155,2,Lake Bronson SP,8.8,0,1,1,0,0,0,0,0,0,0,1,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,2,1
54,13,1SI2-03,48.71810874,-96.60756636,2,Lake Bronson SP,8.8,0,1,1,0,0,0,0,0,0,0,1,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,2,1
55,14,1SI2-06,48.71973017,-96.61093541,2,Lake Bronson SP,1.6,0,1,1,0,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,"",Rest,1,0
56,16,1SI2-01,48.71824968,-96.61287412,2,Lake Bronson SP,6.7,0,1,1,0,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,"",Rest,1,0
57,17,5LE4-07,43.70200528,-96.18411858,3,Blue Mounds SP,42.7,0,1,1,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Rest,Rest,Burn,Rest,Rest,Rest,Rest,Rest,"",3,1
58,17,5LE4-08,43.70037398,-96.18520794,3,Blue Mounds SP,42.7,0,1,1,1,0,0,0,0,0,1,0,"",LG,LG,LG,LG,LG,LG,LG,LG,UG,UG,Rest,Rest,Rest,Rest,Burn,Rest,Rest,Rest,Rest,Rest,"",3,1
59,17,5LE4-09,43.69869375,-96.18616581,3,Blue Mounds SP,42.7,0,1,1,1,0,0,0,0,0,1,0,"",LG,LG,LG,LG,LG,LG,LG,LG,WM,WM,Rest,Rest,Rest,Rest,Burn,Rest,Rest,Rest,Rest,Rest,"",3,1
60,17,5LE4-10,43.69714277,-96.18751702,3,Blue Mounds SP,42.7,0,1,1,1,0,0,0,0,0,1,0,"",LG,LG,LG,LG,LG,LG,LG,LG,WM,WM,Rest,Rest,Rest,Rest,Burn,Rest,Rest,Rest,Rest,Rest,"",3,1
61,17,5LE4-11,43.69562362,-96.18919195,3,Blue Mounds SP,42.7,0,1,0,1,0,0,0,0,0,1,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Rest,Rest,Burn,Rest,Rest,Rest,Rest,Rest,"",2,1
62,18,5LE4-12,43.69451288,-96.19426248,3,Blue Mounds SP,11.2,0,1,1,1,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,"","","",2,1
63,19,5LE4-13,43.69776298,-96.20990418,3,Blue Mounds SP,13,0,1,1,1,0,0,0,0,0,0,0,"",UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Burn,Rest,Rest,Rest,Rest,Rest,Rest,Rest,"","","",2,1
64,20,BM-0,43.70029,-96.195759,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
65,20,BM-02,43.702612,-96.200946,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
66,20,BM-03,43.699614,-96.191913,3,Blue Mounds SP,563.5,0,0,0,0,0,0,0,0,0,1,0,"","","","","","","","","",UG,UG,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",1,0
67,20,BM-04,43.702453,-96.192771,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
68,20,BM-05,43.697987,-96.195053,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
69,20,BM-06,43.704272,-96.192434,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
70,20,BM-07,43.702645,-96.185249,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
71,20,BM-08,43.703186,-96.188119,3,Blue Mounds SP,563.5,0,0,0,0,0,0,0,0,0,1,0,"","","","","","","","","",UG,UG,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",1,0
72,20,BM-09,43.706631,-96.191492,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
73,20,BM-10,43.696612,-96.198802,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
74,20,BM-11-D,43.701364,-96.18698,3,Blue Mounds SP,563.5,0,0,0,1,0,0,0,0,0,1,0,"","","",UG,UG,UG,UG,UG,UG,UG,UG,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",2,1
75,20,BM-12,43.695791,-96.191487,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
76,20,BM-13,43.706303,-96.187093,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
77,20,BM-14,43.702265,-96.197254,3,Blue Mounds SP,563.5,0,0,0,0,0,0,0,0,0,1,0,"","","","","","","","","",LG,LG,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",1,0
78,20,BM-15,43.697708,-96.20339,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
79,20,BM-16,43.706586,-96.190844,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
80,20,BM-17,43.711813,-96.191953,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
81,20,BM-18,43.71199,-96.188164,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
82,20,BM-19,43.704327,-96.186604,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
83,20,BM-1-D,43.702026,-96.191942,3,Blue Mounds SP,563.5,0,0,0,1,0,0,0,0,0,1,0,"","","",WM,WM,WM,WM,WM,WM,WM,WM,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",2,1
84,20,BM-20-D,43.696569,-96.199706,3,Blue Mounds SP,563.5,0,0,0,1,0,0,0,0,0,1,0,"","","",UG,UG,UG,UG,UG,UG,UG,UG,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",2,1
85,20,BM-21,43.710703,-96.183975,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
86,20,BM-22-D,43.712014,-96.189258,3,Blue Mounds SP,563.5,0,0,0,1,0,0,0,0,0,1,0,"","","",UG,UG,UG,UG,UG,UG,UG,UG,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",2,1
87,20,BM-23-D,43.699885,-96.194794,3,Blue Mounds SP,563.5,0,0,0,1,0,0,0,0,0,1,0,"","","",UG,UG,UG,UG,UG,UG,UG,UG,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",2,1
88,20,BM-24,43.702096,-96.191065,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
89,20,BM-25,43.700291,-96.197633,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
90,20,BM-26,43.702267,-96.194288,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
91,20,BM-27,43.710274,-96.191908,3,Blue Mounds SP,563.5,0,0,0,0,0,0,0,0,0,1,0,"","","","","","","","","",UG,UG,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",1,0
92,20,BM-28,43.705844,-96.191301,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
93,20,BM-29-D,43.702287,-96.20001,3,Blue Mounds SP,563.5,0,0,0,1,0,0,0,0,0,1,0,"","","",UG,UG,UG,UG,UG,UG,UG,UG,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",2,1
94,20,BM-30,43.704751,-96.187557,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
95,20,BM-31-D,43.706553,-96.189117,3,Blue Mounds SP,563.5,0,0,0,1,0,0,0,0,0,1,0,"","","",WM,WM,WM,WM,WM,WM,WM,WM,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",2,1
96,20,BM-32-D,43.713781,-96.186584,3,Blue Mounds SP,563.5,0,0,0,1,0,0,0,0,0,1,0,"","","",UG,UG,UG,UG,UG,UG,UG,UG,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",2,1
97,20,BM-33,43.702357,-96.188497,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
98,20,BM-34,43.711733,-96.190298,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
99,20,BM-35,43.701352,-96.189002,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
100,20,BM-36,43.697757,-96.197461,3,Blue Mounds SP,563.5,0,0,0,0,0,0,0,0,0,1,0,"","","","","","","","","",UG,UG,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",1,0
101,20,BM-37,43.7134,-96.188611,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
102,20,BM-38-D,43.711589,-96.184804,3,Blue Mounds SP,563.5,0,0,0,1,0,0,0,0,0,1,0,"","","",WM,WM,WM,WM,WM,WM,WM,WM,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",2,1
103,20,BM-39,43.706256,-96.192018,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
104,20,BM-40-D,43.697916,-96.194044,3,Blue Mounds SP,563.5,0,0,0,1,0,0,0,0,0,1,0,"","","",UG,UG,UG,UG,UG,UG,UG,UG,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",2,1
105,20,BM-41,43.702291,-96.195046,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
106,20,BM-42,43.701299,-96.190575,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
107,20,BM-43,43.707411,-96.189659,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
108,20,BM-44,43.703532,-96.185097,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
109,20,BM-45,43.698064,-96.197775,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
110,20,BM-46,43.706713,-96.185328,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
111,20,BM-47,43.713771,-96.185342,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
112,20,BM-48,43.696393,-96.1941,3,,563.5,,,,,,,,,,,,,,,,,,,,,,,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Graze,Graze,Graze,"",,1
